   6.0813953488372108e-01	  -2.7185503028602982e+00	
   6.2558139534883739e-01	  -2.4258715451573032e+00	
   6.3953488372093048e-01	  -2.2202245812112658e+00	
   6.5581395348837224e-01	  -1.9750260784193414e+00	
   6.7674418604651176e-01	  -1.7219646034765377e+00	
   7.0813953488372117e-01	  -1.4452747657325187e+00	
   7.4069767441860479e-01	  -1.1923447786183254e+00	
   7.8023255813953507e-01	  -9.3949368420129886e-01	
   8.2790697674418623e-01	  -7.0256576582894303e-01	
   8.7790697674418627e-01	  -4.9732641415159606e-01	
   9.2674418604651176e-01	  -3.2373618282067640e-01	
   9.7558139534883737e-01	  -1.5014595148975668e-01	
   1.0013081395348837e+00	  -4.6545047730080391e-02	
   1.0431686046511628e+00	   5.1926187115947327e-02	
   1.0832848837209303e+00	   1.3458601057162242e-01	
   1.1175872093023258e+00	   2.0543822701811962e-01	
   1.1553779069767445e+00	   2.8812434803951714e-01	
   1.1920058139534886e+00	   3.7082361784377577e-01	
   1.2327034883720931e+00	   4.4951908326685952e-01	
   1.2716569767441861e+00	   5.2031870458191332e-01	
   1.3088662790697678e+00	   6.2280031820054571e-01	
   1.3530523255813955e+00	   7.3707639004549563e-01	
   1.3954941860465118e+00	   8.6720331962938058e-01	
   1.4441860465116281e+00	   1.0437635322890277e+00	
   1.4941860465116281e+00	   1.2727495858133395e+00	
   1.5430232558139538e+00	   1.5571577590967673e+00	
   1.5860465116279072e+00	   1.9049562145530736e+00	
   1.6209302325581398e+00	   2.1895221732308325e+00	
   1.6441860465116280e+00	   2.5137974561488101e+00	
   1.6732558139534883e+00	   2.9092471006933809e+00	
