1.23E+01	7.37E-03	2.14E+06
1.24E+01	7.80E-03	2.21E+06
1.25E+01	8.23E-03	2.28E+06
1.26E+01	8.66E-03	2.35E+06
1.27E+01	9.10E-03	2.42E+06
1.28E+01	9.50E-03	2.48E+06
1.29E+01	9.92E-03	2.54E+06
1.30E+01	1.03E-02	2.61E+06
1.31E+01	1.07E-02	2.66E+06
1.32E+01	1.11E-02	2.72E+06
1.33E+01	1.15E-02	2.77E+06
1.34E+01	1.18E-02	2.82E+06
1.35E+01	1.22E-02	2.87E+06
1.36E+01	1.25E-02	2.91E+06
1.37E+01	1.28E-02	2.96E+06
1.38E+01	1.31E-02	2.99E+06
1.39E+01	1.34E-02	3.03E+06
1.40E+01	1.37E-02	3.06E+06
1.41E+01	1.39E-02	3.09E+06
1.42E+01	1.42E-02	3.11E+06
1.43E+01	1.44E-02	3.14E+06
1.44E+01	1.46E-02	3.16E+06
1.45E+01	1.48E-02	3.18E+06
1.46E+01	1.50E-02	3.19E+06
1.47E+01	1.51E-02	3.20E+06
1.48E+01	1.53E-02	3.21E+06
1.49E+01	1.54E-02	3.21E+06
1.50E+01	1.55E-02	3.21E+06
1.51E+01	1.56E-02	3.21E+06
1.52E+01	1.57E-02	3.21E+06
1.53E+01	1.57E-02	3.20E+06
1.54E+01	1.58E-02	3.19E+06
1.55E+01	1.58E-02	3.17E+06
1.56E+01	1.58E-02	3.16E+06
1.57E+01	1.58E-02	3.13E+06
1.58E+01	1.58E-02	3.11E+06
1.59E+01	1.57E-02	3.08E+06
1.60E+01	1.57E-02	3.05E+06
1.61E+01	1.56E-02	3.01E+06
1.62E+01	1.55E-02	2.97E+06
1.63E+01	1.54E-02	2.93E+06
1.64E+01	1.53E-02	2.89E+06
1.65E+01	1.51E-02	2.84E+06
1.66E+01	1.50E-02	2.79E+06
1.67E+01	1.48E-02	2.74E+06
1.68E+01	1.46E-02	2.69E+06
1.69E+01	1.44E-02	2.63E+06
1.70E+01	1.43E-02	2.58E+06
1.71E+01	1.40E-02	2.51E+06
1.72E+01	1.38E-02	2.45E+06
1.73E+01	1.36E-02	2.39E+06
1.74E+01	1.33E-02	2.32E+06
1.75E+01	1.31E-02	2.25E+06
1.76E+01	1.28E-02	2.18E+06
1.77E+01	1.25E-02	2.10E+06
1.78E+01	1.22E-02	2.03E+06
1.79E+01	1.19E-02	1.95E+06
