   9.9998564061981488e-01	   0.0000000000000000e+00	
   1.4538856482781510e+00	   1.6569767441860453e+01	
   2.1646893268322573e+00	   3.1831395348837184e+01	
   3.0038658642432288e+00	   4.8837209302325498e+01	
   3.7443934597809712e+00	   6.1482558139534817e+01	
   4.4750418017512050e+00	   7.4127906976744100e+01	
   5.1068258111454314e+00	   8.8953488372092934e+01	
   5.8768475735838432e+00	   1.0595930232558136e+02	
   6.4395055267658829e+00	   1.1991279069767437e+02	
   7.0019337298649562e+00	   1.4084302325581388e+02	
   7.9195986393689495e+00	   1.7441860465116272e+02	
   8.9349791310341296e+00	   2.4069767441860458e+02	
